date,demand,attractiveness,staff,shift covered
2025-06-01,4,0.0,"['3', '7', '8', '9']",ok
2025-06-02,8,0.0,"['0', '3', '4', '5', '6', '7', '8', '9']",ok
2025-06-03,8,0.0,"['0', '1', '3', '4', '5', '6', '8', '9']",ok
2025-06-04,8,0.1098901098901098,"['0', '1', '2', '3', '4', '5', '8', '9']",ok
2025-06-05,8,-0.3703703703703704,"['0', '1', '2', '3', '5', '6', '7', '8']",ok
2025-06-06,4,-0.196078431372549,"['1', '2', '6', '9']",ok
2025-06-07,4,0.7317073170731708,"['0', '2', '5', '9']",ok
2025-06-08,4,0.0,"['1', '4', '6', '9']",ok
2025-06-09,8,0.4938271604938272,"['0', '1', '2', '4', '5', '6', '8', '9']",ok
2025-06-10,8,0.0,"['0', '1', '2', '4', '5', '6', '8', '9']",ok
2025-06-11,8,0.0,"['0', '1', '2', '3', '4', '5', '7', '8']",ok
2025-06-12,8,0.0,"['0', '2', '3', '4', '5', '6', '8', '9']",ok
2025-06-13,8,-0.1234567901234568,"['0', '1', '2', '3', '4', '6', '7', '8']",ok
2025-06-14,4,0.4878048780487805,"['1', '2', '4', '5']",ok
