physicians,solver_time_sec,overall_time_sec,peak_memory_MB,solver
3,0.0239,0.0689,180.91,Z3
4,0.1905,0.2214,185.42,Z3
5,0.4279,0.4798,186.69,Z3
6,0.4478,0.4852,188.14,Z3
7,1.155,1.1991,190.02,Z3
8,19.6563,19.7161,195.97,Z3
9,67.1877,67.2457,200.63,Z3
10,2443.6573,2443.7421,222.5,Z3
3,0.003,0.0549,165.5,Gurobi
4,0.001,0.0542,169.74,Gurobi
5,0.002,0.054,170.13,Gurobi
6,0.0024,0.0531,170.16,Gurobi
7,0.002,0.0534,170.18,Gurobi
8,0.001,0.0542,170.21,Gurobi
9,0.002,0.0541,170.39,Gurobi
10,0.001,0.0537,170.43,Gurobi
